"guid","label"
"urn:uuid:0e2d46bd-2a54-4fb6-8fec-08bdaa8a8473","Information Element Consulted dwc:eventDate"
"urn:uuid:83d00e4e-6359-4545-87fc-94b080f46ead","Information Element ActedUpon dwc:startDayOfYear"
"urn:uuid:45b3c339-ef67-40bc-ae8a-b306a4aaf9ea","Information Element Consulted dwc:eventDate"
"urn:uuid:ef8f4379-6691-4cb9-b606-ca445f9fb060","Information Element ActedUpon dwc:endDayOfYear"
"urn:uuid:a7362af8-77a9-45c3-8520-1a12b8b31804","Information Element Consulted dwc:year, dwc:startDayOfYear, dwc:endDayOfYear"
"urn:uuid:fbb8e4f9-c7b9-488e-85c1-ecf09777e15d","Information Element ActedUpon dwc:eventDate"
"urn:uuid:f49f3598-9b07-4738-8d29-af9a82533d37","Information Element ActedUpon dcterms:license"
"urn:uuid:9aba9931-dc51-4be6-844c-9019c54e9826","Information Element Consulted bdq:AllValidationTestsRunOnSingleRecord"
"urn:uuid:ad56baf1-9296-4bb9-a67d-11e42804e9b3","Information Element Consulted bdq:AllValidationTestsRunOnSingleRecord"
"urn:uuid:01ca88b7-b1e1-44cd-abbd-1c6d148254bb","Information Element ActedUpon dwc:eventDate"
"urn:uuid:695d4bac-ee30-4a5d-8ef0-fd2fdf8767af","Information Element ActedUpon dwc:day"
"urn:uuid:72421b97-1e66-4429-88d8-cbe647a4c88e","Information Element ActedUpon dwc:taxonRank"
"urn:uuid:840dab40-2497-44ea-8472-dd97c9d0c1c0","Information Element ActedUpon dwc:taxonRank"
"urn:uuid:c2aac0ac-723c-4495-8f1c-87746d1cb39a","Information Element ActedUpon dwc:taxonRank"
"urn:uuid:ced8854b-d1ce-4d71-9b77-e5d67a74c4f9","Information Element ActedUpon dwc:maximumDepthInMeters"
"urn:uuid:0e6f3880-8203-445f-9bff-f44f52120abe","Information Element ActedUpon dwc:stateProvince"
"urn:uuid:63ee37ac-d0ae-4578-82f8-7a956d92baf0","Information Element ActedUpon dwc:country, dwc:stateProvince"
"urn:uuid:a3ff76f2-0620-4b83-9bb2-0d84a8f9cac2","Information Element ActedUpon dwc:scientificNameID"
"urn:uuid:4763d10c-49d6-48c2-9453-8aca044e0816","Information Element ActedUpon dwc:kingdom"
"urn:uuid:ebc1be91-f017-4b18-abdb-0c4a1fbb9a0c","Information Element ActedUpon dwc:scientificNameAuthorship"
"urn:uuid:eb155979-58ca-4429-989d-8475e15fdcc6","Information Element ActedUpon dwc:namePublishedInYear"
"urn:uuid:75f2e0fd-7496-4f9e-b4c1-896eb0ae5a52","Information Element ActedUpon dwc:establishmentMeans"
