"iri","term_iri","term_localName","label","prefLabel","definition","organized_in","issued","status","rdf_type","comments","flags","controlled_value_string","hasFitnessRequirements"
"https://rs.tdwg.org/bdqval/terms/version/taxonIsMarine-2024-09-30","https://rs.tdwg.org/bdqval/terms/taxonIsMarine","taxonIsMarine","taxonIsMarine","taxonIsMarine","A bdqval:sourceAuthority that uses dwc:scientificName to determine the ""marine"" or ""non-marine"" status of a dwc:Taxon using the ""Environment"" term obtained from the World Register of Marine Species (WORMS) database.","bdqffdq:Parameter","2024-09-30","recommended","bdqffdq:Parameter, owl:NamedIndividual","See VALIDATION_COORDINATESTERRESTRIALMARINE_CONSISTENT (bdqtest:b9c184ce-a859-410c-9d12-71a338200380).",,"taxonIsMarine",
"https://rs.tdwg.org/bdqval/terms/version/AllAmendmentTestsRunOnSingleRecord-2024-09-30","https://rs.tdwg.org/bdqval/terms/AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","AllAmendmentTestsRunOnSingleRecord","A list of bdqffdq:Amendment Tests that have been run on a bdqffdq:SingleRecord forming the input to another Test.","bdqffdq:InformationElement","2024-09-30","recommended","bdqffdq:InformationElement","Used in Measure of Single Record Tests",,"AllAmendmentTestsRunOnSingleRecord",
"https://rs.tdwg.org/bdqval/terms/version/AllValidationTestsRunOnSingleRecord-2024-09-30","https://rs.tdwg.org/bdqval/terms/AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","AllValidationTestsRunOnSingleRecord","A list of bdqffdq:Validation Tests that have been run on a bdqffdq:SingleRecord.","bdqffdq:InformationElement","2024-09-30","recommended","bdqffdq:InformationElement","Used in Measure of Single Record Tests",,"AllValidationTestsRunOnSingleRecord",
"https://rs.tdwg.org/bdqval/terms/version/Alien-Species-2024-09-30","https://rs.tdwg.org/bdqval/terms/Alien-Species","Alien-Species","Alien-Species","Alien-Species","Research uses forming a bdqffdq:UseCase for dwc:Occurrence data of alien species that 1) allows the understanding of the spatial and temporal distribution of an alien species or 2) identifies records that contain valid terms (i.e. name, space, time, other) associated with alien species; i.e.1) where the Information Elements concern what dwc:Organism occurred where and when and the means, degree, and pathways of establishment, and that may used for analysis of spatial and/or temporal patterns of biodiversity (see examples in Groom et al. (2019). Improving Darwin Core for research and management of alien species. Biodiversity Information Science and Standards, 3: e38084.  https://doi.org/10.3897/biss.3.38084).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Alien-Species","Data are fit for the Use Case bdqval:Alien-Species when occurrence records can be reliably interpreted for alien-species management: the organism identity is usable, occurrence semantics are usable and standardizable, and establishment context (e.g., establishment means, degree of establishment, pathway) is present and standardizable so that interpretation of alien-status is comparable across records and datasets.  <ul><li>Organism identity is usable: Taxon/scientific name terms (e.g., dwc:scientificName, related dwc:Taxon terms, and identifiers where provided) are present, sufficiently resolvable and consistent.  </li><li>Occurrence semantics are usable: dwc:occurrenceStatus is present, valid and  standardizable so records can be interpreted consistently for alien-species analyses and workflows.  </li><li>Alien-species context is usable: Alien-species related terms (e.g., dwc:establishmentMeans, dwc:degreeOfEstablishment, dwc:pathway) are present where expected, valid and standardizable against an appropriate authority so records are comparable.  </li><li>Core record typing supports interpretation: Values such as dwc:basisOfRecord and dc:type are present, valid and standardizable so record meaning is consistent in downstream use.  </li></ul> "
"https://rs.tdwg.org/bdqval/terms/version/Biotic-Relationships-2024-09-30","https://rs.tdwg.org/bdqval/terms/Biotic-Relationships","Biotic-Relationships","Biotic-Relationships","Biotic-Relationships","Research uses forming a bdqffdq:UseCase for relationships between dwc:Organisms 1) where the bdqffdq:InformationElements concern what dwc:Organisms have a relationship and 2) that are used for analysis of the relationship of one dwc:Organism to another (see examples in: Poelen JH, Simons JD, Mungall CJ. (2014). Global Biotic Interactions: An open infrastructure to share and analyze species-interaction datasets. Ecological Informatics, 24, 148–159. https://doi.org/10.1016/j.ecoinf.2014.08.005). ","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Biotic-Relationships","Data are fit for the Use Case bdqval:Biotic-Relationships when occurrence records support consistent interpretation of biotic relationship evidenced by providing a resolvable taxonomic identification, minimally usable spatial and temporal context, and key controlled descriptors that are present and standardizable (e.g., record type, occurrence status, establishment context, pathway, type status).  <ul><li>Organism identity is usable: Taxon and scientific name terms are present and sufficiently resolvable, are internally consistent, and where possible are consistent with an appropriate source authority to support relationship interpretation and grouping.  </li><li>Occurrence semantics are usable: Key status/occurrence terms (e.g., dwc:occurrenceStatus) are present, and valid and standardizable so records are comparable.  </li><li>Location and time are usable: Spatial terms (coordinates and supporting metadata) and temporal terms (e.g., dwc:eventDate and related date terms) are present, valid, and internally consistent so records are comparable, and support consistent interpretation, and downstream use.  </li><li> </li><li>Supporting descriptors are usable: Core typing/descriptor terms (e.g., dwc:basisOfRecord, dc:type) are present, valid/ and standardizable so as to support consistent interpretation across sources.  </li></ul> "
"https://rs.tdwg.org/bdqval/terms/version/Record-Management-2024-09-30","https://rs.tdwg.org/bdqval/terms/Record-Management","Record-Management","Record-Management","Record-Management","A bdqffdq:UseCase that documents the management of the quality of biodiversity data records, for example, where an agency wishes to do broad data quality checks across the whole of their database for checking for data errors, and for data cleaning (see examples in Rees ER and Nicholls M (2020) Data Quality Use Case Study Results. Biodiversity Information Science and Standards 4: e50889, suppl. 2. https://doi.org/10.3897/biss.4.50889.suppl2). ","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Record-Management","Data are fit for the Use Case bdqval:Record-Management when occurrence records can be reliably managed and curated: Core taxon identifiers and descriptors are present, values are valid and standardizable, spatial and temporal fields are usable and internally consistent, and potential data transformations or special conditions are detectable so records can be prioritized for remediation and maintained with clear semantics.  <ul><li>Core record content is usable: Key fields (e.g., identifiers, dwc:basisOfRecord, dc:type, and other essential descriptors) are present, valid and standardizable for consistent management workflows.  </li><li>Location and time are usable: Spatial terms (coordinates and supporting metadata) and temporal terms (e.g., dwc:eventDate and related date parts) are present, valid, and internally consistent enough to support curation, reporting, and downstream use.  </li><li>Taxon content is manageable: Taxon terms are sufficiently resolvable and consistent to support curation and management tasks (including standardization where applicable).  </li><li>Review triggers are detectable: Reports of generalization and transformations or other potential issues (e.g., generalizations and other warning-type fields) are available so curators can decide how to handle records for management purposes.  </li></ul> "
"https://rs.tdwg.org/bdqval/terms/version/Spatial-Temporal_Patterns-2024-09-30","https://rs.tdwg.org/bdqval/terms/Spatial-Temporal_Patterns","Spatial-Temporal_Patterns","Spatial-Temporal Patterns","Spatial-Temporal Patterns","Research uses forming a bdqffdq:UseCase for dwc:Occurrence data 1) where the Information Elements concern what dwc:Organism occurred where and when and 2) that are used for analysis of spatial and/or temporal patterns of biodiversity or for use in species distribution / niche modeling, etc. (see examples in Rees ER and Nicholls M (2020) Data Quality Use Case Study Results. Biodiversity Information Science and Standards 4: e50889, suppl. 2. https://doi.org/10.3897/biss.4.50889.suppl2). ","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Spatial-Temporal Patterns","Data are fit for the Use Case bdqval:Spatial-Temporal_Patterns when occurrence records can be reliably interpreted as organism occurrences in space and time: the organism identity is usable, the location is usable (with adequate precision and metadata), textual geography data is consistent with the coordinates, the event date is usable and internally consistent, and any generalization (spatial or temporal) is detectable so users can decide whether the record is fit at the intended analysis scale. <ul><li>Organism identity is usable: Taxon and scientific name terms (e.g., dwc:scientificName and related taxon terms) are present and sufficiently resolvable and consistent to support analyses of spatio-temporal patterns of organisms.  </li><li>Location is usable and interpretable (including precision and metadata): Coordinates are present, are in-range, and are accompanied by adequate spatial metadata (e.g., uncertainty and spatial reference such as datum); obvious artifact coordinates (e.g., zeros) are detectable.  </li><li>Textual geography is coherent with coordinates: Textual geography fields (e.g., dwc:countryCode, dwc:country, dwc:stateProvince) are valid and standardizable and consistent with the coordinates.  </li><li>Date is usable and internally consistent: dwc:eventDate is present, valid, in standard form and consistent with other temporal terms (e.g. dwc:year) terms when those are provided. Generalization and low precision are detectable: Any indication that the record has been generalized (via dwc:dataGeneralizations) is available along with coordinate uncertainty, broad and interval event dates, and taxonomic rank so that users can judge whether records are fit for the intended spatial and temporal resolution.  </li></ul>"
"https://rs.tdwg.org/bdqval/terms/version/Taxon-Management-2024-09-30","https://rs.tdwg.org/bdqval/terms/Taxon-Management","Taxon-Management","Taxon-Management","Taxon-Management","A bdqffdq:UseCase that documents the management of the quality of taxonomic names and associated information such as rank, authority, Type status, etc. (see examples in Rees ER and Nicholls M (2020) Data Quality Use Case Study Results Biodiversity Information Science and Standards 4: e50889, suppl. 2. https://doi.org/10.3897/biss.4.50889.suppl2).","bdqffdq:UseCase","2024-09-30","recommended","bdqffdq:UseCase",,,"Taxon-Management","Data are fit for the Use Case bdqval:Taxon-Management when occurrence records support taxon curation: Taxon terms are sufficient to resolve the organism (or flag ambiguity), core name and rank terms (e.g., dwc:scientificName, dwc:taxonRank) are present and align with an appropriate bdqval:sourceAuthority, name strings are consistent with atomized name fields and identifiers or authorship, identification dates are valid and plausible, and key contextual metadata (e.g., dwc:basisOfRecord, and controlled fields such as dwc:typeStatus and dwc:sex where relevant) are usable.  <ul><li>Taxon can be resolved: Taxon terms are present and sufficient to support unambiguous resolution when possible.  </li><li>Names and ranks are authoritative: dwc:scientificName and required rank and classification terms are present, standardizable, and consistent with the bdqval:sourceAuthority.  </li><li>Name fields are consistent: dwc:scientificName agrees with atomized name fields; authorship is provided where needed.  </li><li>Identifiers are usable: Identifiers (e.g., dwc:scientificNameID) are present when available and correctly formed; dwc:taxonRank is present and valid.  </li><li>Identification timing is usable: dwc:dateIdentified is present when needed, ISO-valid, and temporally plausible (and consistent with dwc:eventDate when provided).  </li><li>Supporting context is usable: dwc:basisOfRecord and other relevant controlled and context fields are present and valid; basic space/time fields are in standard form where used to support curation decisions. </li></ul>"
"https://rs.tdwg.org/bdqval/terms/version/Empty-2024-09-30","https://rs.tdwg.org/bdqval/terms/Empty","Empty","Empty","Empty","An evaluation of a value, which in the context of the evaluation, returns false if the value contains any characters or values other than those in the range U+0000 to U+0020, otherwise returns true. ","Data","2024-09-30","recommended","http://www.w3.org/2004/02/skos/core#Concept","See also: bdqval:NotEmpty. In the BDQ standard, bdqval:Empty is used to evaluate bdqffdq:InformationElements within a Test specification, it therefore means empty if the dataset being evaluated does not contain the term matching the Information Element, or if the dataset contains that term but the value for that term is empty. The phrasing 'in the context of the evauation' is to allow the Test implementations to be independent of, and agnostic about the data structures presented to a framework for executing the Tests and the framework within which the Tests are run. The term bdqval:Empty is defined to be more broadly usable than just with bdqtest:. Note: A bdqffdq:InformationElement containing invalid characters (e.g., letters in an Information Element that would be expected to contain integers) or values (including string serializations of the NULL value) are bdqval:NotEmpty and their invalidity must be separately detected. The definition of bdqval:Empty is not applicable to a discussion of what value to include in a controlled vocabulary to indicate that no meaningful value is present, so no suggestion is made that bdqval:Empty should be used as a data value to represent some form of 'Null', 'unknown', 'not recorded', etc. Choices there would fall into the semantics for some set of controlled vocabularies. The relevance to such a discussion is that the definition of bdqval:Empty would treat an empty string as an empty value, with no semantics attached as to why the value is empty",,"Empty",
"https://rs.tdwg.org/bdqval/terms/version/NotEmpty-2024-09-30","https://rs.tdwg.org/bdqval/terms/NotEmpty","NotEmpty","NotEmpty","NotEmpty","An evaluation of a value, which in the context of the evaluation, returns true if the value contains any characters or values other than those in the range U+0000 to U+0020, otherwise returns false. ","Data","2024-09-30","recommended","http://www.w3.org/2004/02/skos/core#Concept","See also: bdqval:Empty. In the BDQ standard, bdqval:NotEmpty is used to evaluate bdqffdq:InformationElements within a Test specification. Common string serializations of null such as '\N', 'NA', 'NaN', and NULL are treated as bdqval:NotEmpty. If '\N' is present in a dataset, Tests are expected to explicitly treat that value as bdqval:NotEmpty, and then try to evaluate it against whatever other criteria may apply. The term bdqval:NotEmpty is defined to be more broadly usable than the scope of BDQ Tests. ",,"NotEmpty",
